Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,146.000000,165.000000,141.250000,144.710007,144.710007,70447500
2020-12-11,146.550003,151.500000,135.100006,139.250000,139.250000,26980800
2020-12-14,135.000000,135.300003,125.160004,130.000000,130.000000,16966100
2020-12-15,126.690002,127.599998,121.500000,124.800003,124.800003,10914400
2020-12-16,125.830002,142.000000,124.910004,137.990005,137.990005,20409600
2020-12-17,143.000000,152.449997,142.669998,147.050003,147.050003,15054700
2020-12-18,150.449997,159.000000,150.300003,157.300003,157.300003,15954200
2020-12-21,155.309998,172.000000,145.110001,163.020004,163.020004,17788100
2020-12-22,170.000000,174.970001,161.050003,163.190002,163.190002,9872600
2020-12-23,162.813995,168.250000,155.500000,158.009995,158.009995,5852500
2020-12-24,159.160004,162.789993,154.112000,154.839996,154.839996,3621400
2020-12-28,158.600006,163.639999,147.520004,149.000000,149.000000,6229200
2020-12-29,150.000000,151.651001,143.119995,150.000000,150.000000,5402300
2020-12-30,151.339996,152.813004,145.600006,148.429993,148.429993,3462400
2020-12-31,146.899994,147.889999,144.509995,146.800003,146.800003,2795800
2021-01-04,150.990005,151.005005,137.000000,139.149994,139.149994,6409900
2021-01-05,138.279999,149.000000,137.250000,148.300003,148.300003,5974200
2021-01-06,145.750000,148.350006,141.110001,142.770004,142.770004,4213900
2021-01-07,146.369995,154.419998,145.261002,151.270004,151.270004,4482800
2021-01-08,153.449997,155.539993,147.250000,149.770004,149.770004,4615600
2021-01-11,147.990005,150.500000,144.020004,148.130005,148.130005,2801900
2021-01-12,148.080002,163.880005,143.610001,160.800003,160.800003,8123600
2021-01-13,160.809998,178.619995,159.350006,169.990005,169.990005,12529700
2021-01-14,175.539993,187.419998,174.975006,180.500000,180.500000,9926500
2021-01-15,184.580002,185.994995,164.860001,169.270004,169.270004,8575700
2021-01-19,173.000000,178.600006,166.600006,173.690002,173.690002,4685400
2021-01-20,176.009995,176.309998,161.000000,161.830002,161.830002,8517400
2021-01-21,164.990005,183.470001,155.330002,180.399994,180.399994,17618400
2021-01-22,178.089996,185.307007,175.190002,181.869995,181.869995,7136800
2021-01-25,186.050003,192.470001,170.029999,177.529999,177.529999,7472900
2021-01-26,180.000000,193.000000,177.300003,192.740005,192.740005,6460900
2021-01-27,187.639999,216.000000,185.500000,201.250000,201.250000,11019800
2021-01-28,202.600006,212.839996,187.050003,187.369995,187.369995,7077700
2021-01-29,190.710007,193.500000,179.309998,183.630005,183.630005,4529800
2021-02-01,187.479996,188.820007,179.740005,180.440002,180.440002,3877400
2021-02-02,183.220001,186.479004,177.110001,179.169998,179.169998,4413600
2021-02-03,181.979996,190.899994,180.000000,185.720001,185.720001,4169000
2021-02-04,187.070007,195.990005,186.190002,195.800003,195.800003,3631500
2021-02-05,197.000000,197.250000,190.250000,195.309998,195.309998,2869700
2021-02-08,199.929993,201.960007,191.500000,200.429993,200.429993,3488100
2021-02-09,199.203003,209.220001,196.160004,199.880005,199.880005,4725800
2021-02-10,205.479996,214.716003,202.097000,211.660004,211.660004,5257200
2021-02-11,213.500000,219.940002,207.000000,216.839996,216.839996,3595200
2021-02-12,214.457993,216.940002,209.000000,212.679993,212.679993,3041700
2021-02-16,216.240005,218.779999,209.089996,209.860001,209.860001,3487900
2021-02-17,207.050003,208.764999,196.020004,201.960007,201.960007,4090600
2021-02-18,199.009995,200.360001,192.169998,198.039993,198.039993,2791400
2021-02-19,203.949997,205.550003,200.179993,201.070007,201.070007,2605800
2021-02-22,200.699997,205.000000,193.500000,195.339996,195.339996,3674200
2021-02-23,189.000000,191.669998,175.000000,187.589996,187.589996,5902400
2021-02-24,190.979996,208.145004,189.000000,200.199997,200.199997,5983500
2021-02-25,197.410004,199.800003,180.000000,182.059998,182.059998,11568500
2021-02-26,194.179993,214.100006,185.750000,206.350006,206.350006,19368600
2021-03-01,195.820007,199.690002,192.619995,196.419998,196.419998,15798500
2021-03-02,195.630005,200.000000,188.500000,189.899994,189.899994,9144900
2021-03-03,186.970001,188.479996,178.800003,180.399994,180.399994,10592900
2021-03-04,178.639999,183.899994,170.869995,180.229996,180.229996,9993700
2021-03-05,182.520004,183.500000,161.899994,179.809998,179.809998,8788500
2021-03-08,179.992004,186.399994,177.029999,180.809998,180.809998,4988500
2021-03-09,184.990005,189.460007,180.720001,183.110001,183.110001,6079900
2021-03-10,184.570007,191.000000,181.550003,183.789993,183.789993,6145600
2021-03-11,189.899994,201.000000,188.500000,197.869995,197.869995,6031200
2021-03-12,196.270004,208.699997,192.199997,206.740005,206.740005,5556500
2021-03-15,209.537994,213.740005,203.809998,209.990005,209.990005,4329400
2021-03-16,209.110001,215.490005,198.179993,200.009995,200.009995,4605600
2021-03-17,195.630005,203.460007,194.440002,201.360001,201.360001,3781900
2021-03-18,196.800003,199.899994,190.679993,191.449997,191.449997,3711500
