Date,Close/Last,Volume,Open,High,Low
03/22/2024,$151.77,19252930,$150.24,$152.56,$150.09
03/21/2024,$148.74,19843920,$150.32,$151.305,$148.0101
03/20/2024,$149.68,17730000,$148.79,$149.76,$147.665
03/19/2024,$147.92,17748370,$148.98,$149.62,$147.01
03/18/2024,$148.48,47676690,$149.37,$152.93,$148.14
03/15/2024,$142.17,41039490,$143.41,$144.34,$141.1301
03/14/2024,$144.34,36117910,$142.30,$144.73,$141.485
03/13/2024,$140.77,19637000,$140.06,$142.19,$140.01
03/12/2024,$139.62,19019700,$138.25,$140.28,$138.21
03/11/2024,$138.94,22536370,$137.07,$139.98,$137.07
03/08/2024,$136.29,26495160,$135.035,$138.985,$134.80
03/07/2024,$135.24,24107280,$133.89,$135.82,$132.66
03/06/2024,$132.56,23175200,$134.24,$134.74,$131.95
03/05/2024,$133.78,28447550,$132.74,$134.02,$131.55
03/04/2024,$134.20,43571510,$136.54,$136.63,$132.86
03/01/2024,$138.08,28551530,$139.61,$140.00,$137.975
02/29/2024,$139.78,35485010,$138.35,$139.95,$137.57
02/28/2024,$137.43,30628700,$139.10,$139.28,$136.64
02/27/2024,$140.10,22363980,$139.41,$140.49,$138.50
02/26/2024,$138.75,33513010,$143.45,$143.84,$138.74
02/23/2024,$145.29,14519430,$144.97,$145.955,$144.79
02/22/2024,$145.32,23024710,$146.12,$146.20,$144.01
02/21/2024,$143.84,16499580,$142.64,$143.98,$141.91
02/20/2024,$142.20,18625590,$140.94,$143.3285,$140.80
02/16/2024,$141.76,21865120,$144.21,$144.48,$141.52
02/15/2024,$143.94,26724310,$144.46,$144.76,$141.88
02/14/2024,$147.14,16651820,$147.37,$147.83,$145.555
02/13/2024,$146.37,18138480,$146.07,$148.04,$145.11
02/12/2024,$148.73,17236110,$149.54,$150.59,$148.56
02/09/2024,$150.22,21877690,$147.95,$150.695,$147.43
02/08/2024,$147.22,18241320,$146.97,$147.61,$146.42
02/07/2024,$146.68,21436130,$146.12,$147.00,$145.2103
02/06/2024,$145.41,21517660,$145.96,$146.74,$144.52
02/05/2024,$144.93,29254440,$144.04,$146.67,$143.91
02/02/2024,$143.54,42136130,$140.89,$143.88,$138.17
02/01/2024,$142.71,25526860,$143.69,$144.62,$142.26
01/31/2024,$141.80,43908580,$145.39,$145.59,$141.55
01/30/2024,$153.05,26578930,$154.01,$155.04,$152.775
01/29/2024,$154.84,20909260,$153.64,$155.20,$152.92
01/26/2024,$153.79,19494490,$152.87,$154.11,$152.80
01/25/2024,$153.64,21495120,$151.74,$154.76,$151.22
01/24/2024,$150.35,19245030,$150.29,$151.57,$149.84
01/23/2024,$148.68,14113650,$147.72,$148.86,$147.19
01/22/2024,$147.71,21829230,$148.71,$150.015,$147.58
01/19/2024,$147.97,27181030,$146.305,$148.04,$145.80
01/18/2024,$144.99,18876800,$143.44,$145.585,$143.35
01/17/2024,$142.89,17884550,$142.91,$143.41,$140.51
01/16/2024,$144.08,19198940,$143.43,$145.84,$143.0564
01/12/2024,$144.24,13998730,$144.34,$144.74,$143.36
01/11/2024,$143.67,17471130,$144.895,$146.66,$142.215
01/10/2024,$143.80,16641880,$142.52,$144.525,$142.46
01/09/2024,$142.56,19579670,$140.06,$142.7998,$139.79
01/08/2024,$140.53,17645290,$138.00,$140.64,$137.88
01/05/2024,$137.39,15439480,$138.352,$138.81,$136.85
01/04/2024,$138.04,18253330,$139.85,$140.635,$138.01
01/03/2024,$140.36,18974310,$138.60,$141.09,$138.43
01/02/2024,$139.56,20071890,$139.60,$140.6147,$137.74
12/29/2023,$140.93,14880960,$140.68,$141.435,$139.90
12/28/2023,$141.28,12192550,$141.85,$142.27,$140.8283
12/27/2023,$141.44,17288360,$142.83,$143.32,$141.0512
12/26/2023,$142.82,11170070,$142.98,$143.945,$142.5001
12/22/2023,$142.72,18513520,$142.13,$143.25,$142.055
12/21/2023,$141.80,18101480,$140.77,$142.03,$140.4725
12/20/2023,$139.66,33507340,$140.33,$143.0783,$139.41
12/19/2023,$138.10,20661000,$138.00,$138.77,$137.45
12/18/2023,$137.19,25699770,$133.86,$138.38,$133.77
12/15/2023,$133.84,58594000,$132.92,$134.83,$132.63
12/14/2023,$133.20,29619100,$134.77,$135.035,$131.06
12/13/2023,$133.97,25414460,$134.545,$134.78,$132.95
12/12/2023,$133.64,26583980,$133.27,$134.54,$132.83
12/11/2023,$134.70,24502860,$133.82,$134.79,$132.89
12/08/2023,$136.64,23016140,$135.66,$137.99,$135.57
12/07/2023,$138.45,38419430,$136.60,$140.00,$136.23
12/06/2023,$131.43,16360650,$132.90,$133.31,$131.31
12/05/2023,$132.39,19235150,$130.37,$133.54,$129.73
12/04/2023,$130.63,24117080,$131.294,$131.45,$129.40
12/01/2023,$133.32,24267990,$133.32,$133.50,$132.1517
11/30/2023,$133.92,29913530,$136.40,$136.96,$132.79
11/29/2023,$136.40,21014720,$138.985,$139.67,$136.295
11/28/2023,$138.62,17046870,$137.63,$138.66,$137.04
11/27/2023,$138.05,17886390,$137.57,$139.63,$137.54
11/24/2023,$138.22,8828640,$139.54,$139.677,$137.47
11/22/2023,$140.02,17310210,$139.10,$141.10,$139.00
11/21/2023,$138.62,17648070,$137.94,$138.965,$137.705
11/20/2023,$137.92,19589010,$135.50,$138.425,$135.49
11/17/2023,$136.94,25590190,$137.82,$138.00,$135.48
11/16/2023,$138.70,17615070,$136.96,$138.8799,$136.08
11/15/2023,$136.38,15840880,$136.64,$136.84,$135.33
11/14/2023,$135.43,22317350,$135.65,$137.24,$135.10
11/13/2023,$133.64,16409860,$133.36,$134.11,$132.77
11/10/2023,$134.06,20879840,$131.53,$134.27,$130.87
11/09/2023,$131.69,17976530,$133.36,$133.96,$131.51
11/08/2023,$133.26,15093600,$132.36,$133.54,$132.16
11/07/2023,$132.40,19223790,$131.98,$133.28,$131.14
11/06/2023,$131.45,15360360,$130.22,$131.56,$129.93
11/03/2023,$130.37,19529450,$129.09,$130.73,$129.01
11/02/2023,$128.58,24091670,$129.56,$130.09,$128.11
11/01/2023,$127.57,26536600,$125.34,$127.74,$124.925
10/31/2023,$125.30,21123420,$126.27,$126.56,$123.925
10/30/2023,$125.75,24165630,$124.46,$126.55,$123.88
10/27/2023,$123.40,37367670,$124.03,$124.44,$121.46
10/26/2023,$123.44,33907360,$124.47,$125.46,$122.32
10/25/2023,$126.67,58796070,$129.77,$130.10,$126.09
10/24/2023,$140.12,26535200,$139.16,$140.7099,$138.75
10/23/2023,$137.90,20780670,$136.23,$139.02,$135.11
10/20/2023,$136.74,24970260,$138.59,$139.04,$136.245
10/19/2023,$138.98,21831180,$139.80,$141.005,$138.60
10/18/2023,$139.28,18304870,$140.75,$141.99,$138.705
10/17/2023,$140.99,17424020,$140.03,$141.25,$138.5287
10/16/2023,$140.49,17345560,$139.73,$140.905,$139.32
10/13/2023,$138.58,19447570,$140.65,$141.34,$137.97
10/12/2023,$140.29,18173110,$142.16,$142.38,$139.45
10/11/2023,$141.70,20146340,$139.85,$142.22,$139.84
10/10/2023,$139.20,19554920,$139.51,$140.74,$138.43
10/09/2023,$139.50,16599100,$137.99,$139.97,$136.70
10/06/2023,$138.73,20826680,$134.94,$139.1857,$134.94
10/05/2023,$135.99,15922940,$136.13,$136.50,$134.455
10/04/2023,$136.27,22847990,$133.66,$136.57,$133.43
10/03/2023,$133.30,19628740,$134.93,$135.24,$132.815
10/02/2023,$135.17,19210390,$132.155,$135.36,$132.065
09/29/2023,$131.85,23237340,$134.08,$134.89,$131.32
09/28/2023,$133.13,18201390,$130.69,$134.1799,$130.69
09/27/2023,$131.46,18764200,$129.44,$131.72,$129.38
09/26/2023,$129.45,20378790,$130.914,$131.405,$128.19
09/25/2023,$132.17,14650030,$130.77,$132.22,$130.03
09/22/2023,$131.25,17355280,$131.68,$133.01,$130.51
09/21/2023,$131.36,22058380,$132.39,$133.19,$131.09
09/20/2023,$134.59,21473530,$138.83,$138.84,$134.52
09/19/2023,$138.83,15484640,$138.25,$139.175,$137.50
09/18/2023,$138.96,16233590,$137.63,$139.93,$137.63
09/15/2023,$138.30,48958840,$138.80,$139.36,$137.18
09/14/2023,$138.99,19064610,$138.39,$139.55,$137.06
09/13/2023,$137.50,16394920,$135.90,$137.70,$134.93
09/12/2023,$136.07,15212930,$137.13,$137.64,$135.93
